id,title,priority,status,created_date
307,Password Reset,high,in progress,2022-08-07
308,System Crash,medium,resolved,2023-10-16
309,Network Connectivity Issue,medium,resolved,2024-01-17
310,Network Connectivity Issue,medium,in progress,2022-07-17
311,Slow Computer Performance,urgent,open,2024-03-01
312,Password Reset,low,open,2024-05-05
313,Printer Not Responding,urgent,open,2023-12-17
314,Account Lockout,low,in progress,2022-11-13
315,VPN Access Request,high,open,2022-10-24
316,VPN Access Request,medium,in progress,2023-09-09
317,Slow Computer Performance,urgent,resolved,2023-02-09
318,Software Installation,medium,open,2024-02-05
319,Password Reset,urgent,resolved,2023-08-27
320,System Crash,high,on hold,2024-07-17
321,VPN Access Request,medium,on hold,2023-09-30
322,Software Installation,urgent,closed,2022-12-03
323,Account Lockout,low,closed,2022-10-06
324,Printer Not Responding,low,open,2022-04-06
325,Password Reset,low,on hold,2024-09-17
326,Printer Not Responding,low,in progress,2023-08-12
327,Software Installation,urgent,resolved,2022-11-29
328,Password Reset,medium,open,2024-02-17
329,Network Connectivity Issue,high,open,2023-10-01
330,VPN Access Request,high,on hold,2023-05-02
331,Slow Computer Performance,low,in progress,2024-08-21
332,VPN Access Request,high,resolved,2023-07-12
333,Software Installation,medium,in progress,2023-07-25
334,System Crash,urgent,in progress,2024-09-07
335,Password Reset,urgent,resolved,2023-12-23
336,Account Lockout,high,closed,2024-09-17
337,Slow Computer Performance,high,resolved,2024-05-03
338,System Crash,medium,in progress,2023-11-16
339,Printer Not Responding,medium,open,2022-05-26
340,Network Connectivity Issue,low,open,2022-12-13
341,Slow Computer Performance,high,open,2024-09-16
342,Password Reset,medium,resolved,2022-06-23
343,Printer Not Responding,medium,on hold,2023-03-20
344,Slow Computer Performance,medium,resolved,2024-04-30
345,Password Reset,urgent,on hold,2022-08-01
346,Printer Not Responding,medium,in progress,2024-01-14
347,System Crash,high,in progress,2023-01-10
348,System Crash,high,on hold,2022-08-13
349,Printer Not Responding,low,resolved,2024-09-08
350,Access Denied Error,urgent,open,2023-12-29
351,Password Reset,high,on hold,2024-05-12
352,Network Connectivity Issue,medium,closed,2024-11-10
353,Software Installation,low,in progress,2023-06-18
354,VPN Access Request,high,resolved,2022-05-05
355,Account Lockout,medium,on hold,2022-02-12
356,VPN Access Request,high,closed,2024-12-02
357,VPN Access Request,high,open,2024-10-19
358,Password Reset,high,resolved,2024-11-06
359,Network Connectivity Issue,high,in progress,2022-01-08
360,Slow Computer Performance,low,resolved,2024-12-23
361,Network Connectivity Issue,medium,resolved,2023-02-05
362,Network Connectivity Issue,medium,on hold,2023-09-09
363,Slow Computer Performance,low,open,2024-04-28
364,Access Denied Error,medium,closed,2022-10-17
365,Account Lockout,high,open,2024-01-24
366,Password Reset,medium,in progress,2024-10-31
367,Printer Not Responding,high,open,2022-06-26
368,VPN Access Request,medium,closed,2024-04-06
369,Access Denied Error,high,in progress,2022-10-07
370,Email Not Working,low,closed,2022-12-26
371,Printer Not Responding,low,resolved,2024-10-07
372,Account Lockout,low,resolved,2022-04-13
373,System Crash,urgent,open,2023-11-13
374,Access Denied Error,medium,resolved,2024-01-08
375,Software Installation,low,resolved,2024-08-24
376,Password Reset,medium,open,2023-11-10
377,Password Reset,medium,open,2023-04-17
378,Email Not Working,urgent,open,2024-06-23
379,Slow Computer Performance,high,open,2022-07-11
380,System Crash,urgent,on hold,2022-06-01
381,Password Reset,high,open,2022-09-10
382,Printer Not Responding,medium,on hold,2022-09-02
383,System Crash,medium,in progress,2024-06-08
384,Slow Computer Performance,medium,open,2023-04-18
385,Slow Computer Performance,low,closed,2023-06-04
386,Software Installation,high,closed,2022-12-26
387,Email Not Working,low,resolved,2023-12-26
388,Access Denied Error,medium,resolved,2022-03-28
389,System Crash,urgent,open,2023-09-23
390,Printer Not Responding,high,open,2024-12-14
391,Email Not Working,high,closed,2022-02-06
392,Printer Not Responding,high,in progress,2024-09-03
393,Network Connectivity Issue,high,open,2023-08-23
394,Email Not Working,low,resolved,2023-06-17
395,Network Connectivity Issue,high,in progress,2024-11-03
396,Slow Computer Performance,urgent,resolved,2024-06-28
397,Account Lockout,low,resolved,2023-10-29
398,Software Installation,high,closed,2024-11-19
399,Network Connectivity Issue,urgent,on hold,2023-05-30
400,Account Lockout,high,resolved,2024-11-01
401,Network Connectivity Issue,medium,closed,2024-12-11
402,Network Connectivity Issue,urgent,resolved,2023-07-11
403,Network Connectivity Issue,low,resolved,2023-05-26
404,Software Installation,medium,resolved,2024-10-04
405,Account Lockout,high,on hold,2023-12-17
406,Slow Computer Performance,urgent,on hold,2024-06-19
407,Software Installation,high,resolved,2022-02-12
408,VPN Access Request,medium,closed,2022-11-07
409,Email Not Working,medium,resolved,2022-09-12
410,System Crash,medium,closed,2024-09-25
411,Access Denied Error,urgent,on hold,2024-09-22
412,Printer Not Responding,low,open,2022-03-08
413,VPN Access Request,high,on hold,2024-05-01
414,Account Lockout,urgent,resolved,2023-11-13
415,Software Installation,high,resolved,2024-12-14
416,Password Reset,urgent,resolved,2023-05-31
417,Software Installation,urgent,resolved,2024-06-27
418,Printer Not Responding,urgent,open,2022-11-05
419,Printer Not Responding,high,open,2024-11-16
420,Software Installation,urgent,on hold,2024-06-22
421,Access Denied Error,low,closed,2022-06-06
422,Email Not Working,low,open,2022-06-10
423,VPN Access Request,low,in progress,2023-05-23
424,Account Lockout,medium,on hold,2023-08-20
425,Network Connectivity Issue,urgent,resolved,2022-12-21
426,Slow Computer Performance,medium,in progress,2023-07-22
427,Account Lockout,urgent,in progress,2024-10-04
428,Account Lockout,high,on hold,2024-09-08
429,Slow Computer Performance,medium,resolved,2022-10-02
430,Access Denied Error,medium,on hold,2024-07-21
431,Password Reset,medium,open,2024-12-26
432,Software Installation,medium,on hold,2022-03-14
433,Printer Not Responding,low,in progress,2022-12-19
434,Printer Not Responding,low,on hold,2023-09-02
435,Network Connectivity Issue,urgent,open,2022-07-25
436,Email Not Working,urgent,in progress,2023-10-07
437,Slow Computer Performance,high,on hold,2023-07-24
438,Slow Computer Performance,medium,closed,2023-02-18
439,VPN Access Request,high,on hold,2023-09-11
440,Software Installation,high,resolved,2024-11-09
441,Software Installation,high,on hold,2022-01-03
442,Printer Not Responding,urgent,closed,2022-01-10
443,Slow Computer Performance,medium,in progress,2023-01-12
444,Email Not Working,low,open,2023-06-17
445,Printer Not Responding,low,resolved,2022-05-14
446,Software Installation,high,resolved,2023-03-29
447,System Crash,urgent,closed,2022-12-07
448,Account Lockout,high,resolved,2023-03-25
449,Slow Computer Performance,low,resolved,2022-06-11
450,Account Lockout,medium,on hold,2023-05-05
451,Password Reset,high,open,2023-05-24
452,Access Denied Error,low,on hold,2023-01-02
453,Network Connectivity Issue,low,closed,2024-02-16
454,Printer Not Responding,medium,resolved,2023-08-27
455,Password Reset,medium,resolved,2022-03-27
456,Email Not Working,urgent,in progress,2022-06-23
457,System Crash,low,in progress,2022-01-04
458,Slow Computer Performance,urgent,in progress,2024-07-31
459,Email Not Working,urgent,closed,2023-05-04
460,Password Reset,high,open,2024-08-28
461,Email Not Working,high,on hold,2024-07-13
462,Email Not Working,high,in progress,2023-04-05
463,System Crash,medium,in progress,2022-05-13
464,Printer Not Responding,low,closed,2022-06-14
465,Printer Not Responding,low,closed,2024-08-02
466,System Crash,low,on hold,2023-02-22
467,Access Denied Error,medium,closed,2022-05-19
468,System Crash,urgent,open,2023-03-15
469,Email Not Working,urgent,on hold,2024-03-27
470,Account Lockout,high,closed,2022-07-09
471,Account Lockout,urgent,resolved,2022-04-11
472,Password Reset,low,on hold,2023-04-26
473,Software Installation,urgent,in progress,2023-04-20
474,System Crash,low,open,2024-10-28
475,System Crash,high,closed,2024-04-19
476,VPN Access Request,high,closed,2022-02-19
477,Email Not Working,urgent,in progress,2024-04-30
478,Printer Not Responding,low,on hold,2022-06-21
479,Access Denied Error,urgent,closed,2022-01-20
480,Software Installation,urgent,in progress,2024-08-31
481,Printer Not Responding,urgent,closed,2024-04-09
482,Access Denied Error,high,resolved,2023-12-25
483,Printer Not Responding,medium,resolved,2024-09-23
484,VPN Access Request,high,on hold,2024-08-22
485,Account Lockout,urgent,open,2024-01-31
486,Email Not Working,low,open,2024-04-27
487,Access Denied Error,low,on hold,2023-08-14
488,VPN Access Request,low,in progress,2024-01-08
489,Email Not Working,urgent,closed,2022-12-21
490,Printer Not Responding,high,open,2024-08-19
491,Software Installation,high,in progress,2023-02-21
492,Network Connectivity Issue,medium,in progress,2024-11-30
493,Software Installation,low,closed,2023-10-20
494,Password Reset,low,in progress,2022-05-03
495,Email Not Working,urgent,open,2023-07-09
496,Slow Computer Performance,urgent,in progress,2022-02-11
497,Account Lockout,medium,on hold,2024-03-25
498,Network Connectivity Issue,high,on hold,2022-02-15
499,System Crash,urgent,open,2024-03-03
500,Slow Computer Performance,low,on hold,2024-01-08
501,Access Denied Error,low,closed,2022-01-26
502,Password Reset,medium,in progress,2022-03-11
503,Account Lockout,low,open,2023-05-31
504,Email Not Working,low,on hold,2023-02-22
505,Slow Computer Performance,urgent,closed,2023-12-04
506,Account Lockout,high,closed,2022-05-08
507,VPN Access Request,low,open,2024-05-17
508,Network Connectivity Issue,medium,on hold,2024-02-11
509,Password Reset,urgent,in progress,2022-10-20
510,VPN Access Request,urgent,on hold,2024-09-17
511,Network Connectivity Issue,low,resolved,2023-12-16
512,Network Connectivity Issue,medium,in progress,2022-08-05
513,System Crash,high,closed,2024-03-05
514,Slow Computer Performance,urgent,in progress,2022-02-01
515,Network Connectivity Issue,urgent,in progress,2024-04-29
516,System Crash,high,closed,2022-12-25
517,Account Lockout,medium,in progress,2024-12-24
518,Network Connectivity Issue,high,in progress,2022-10-29
519,Slow Computer Performance,low,resolved,2023-09-18
520,Printer Not Responding,low,on hold,2023-06-15
521,Access Denied Error,high,in progress,2024-01-05
522,Email Not Working,low,resolved,2023-04-06
523,System Crash,urgent,open,2023-11-11
524,System Crash,high,on hold,2023-01-25
525,Network Connectivity Issue,low,open,2024-08-23
526,VPN Access Request,high,open,2023-12-27
527,VPN Access Request,high,on hold,2023-08-14
528,Email Not Working,urgent,resolved,2024-10-02
529,System Crash,medium,open,2022-01-30
530,Account Lockout,urgent,open,2022-08-04
531,Network Connectivity Issue,medium,closed,2024-01-08
532,Password Reset,urgent,on hold,2022-10-03
533,Account Lockout,high,open,2024-08-14
534,Slow Computer Performance,high,resolved,2023-12-03
535,Network Connectivity Issue,urgent,on hold,2023-08-29
536,System Crash,low,resolved,2024-01-08
537,Email Not Working,medium,open,2022-07-22
538,System Crash,urgent,open,2024-05-20
539,Slow Computer Performance,high,closed,2022-09-28
540,Network Connectivity Issue,low,on hold,2023-07-03
541,System Crash,medium,resolved,2024-07-30
542,Software Installation,high,in progress,2023-01-07
543,System Crash,high,open,2022-11-07
544,Access Denied Error,low,closed,2024-03-24
545,Password Reset,low,resolved,2022-08-05
546,Network Connectivity Issue,low,open,2022-01-28
547,Printer Not Responding,high,closed,2024-12-04
548,Printer Not Responding,low,closed,2023-09-29
549,System Crash,urgent,resolved,2024-06-15
550,Password Reset,urgent,open,2024-10-17
551,Email Not Working,high,on hold,2023-02-12
552,Email Not Working,high,in progress,2023-06-20
553,Printer Not Responding,low,resolved,2022-09-23
554,Software Installation,urgent,in progress,2022-03-23
555,Network Connectivity Issue,high,closed,2023-04-22
556,Access Denied Error,medium,open,2024-01-19
557,System Crash,low,in progress,2022-12-09
558,VPN Access Request,high,closed,2022-03-06
559,Account Lockout,medium,closed,2023-10-27
560,System Crash,urgent,closed,2022-03-13
561,Slow Computer Performance,low,in progress,2023-05-26
562,Slow Computer Performance,low,open,2023-10-12
563,Access Denied Error,medium,in progress,2023-03-08
564,System Crash,urgent,in progress,2024-04-17
565,Access Denied Error,medium,open,2023-02-18
566,Account Lockout,low,open,2023-12-17
567,System Crash,medium,closed,2024-10-27
568,Network Connectivity Issue,low,in progress,2022-08-27
569,Software Installation,medium,open,2024-02-20
570,System Crash,medium,open,2022-08-13
571,Password Reset,low,on hold,2023-07-19
572,Access Denied Error,low,on hold,2023-10-25
573,Email Not Working,urgent,on hold,2023-12-30
574,Network Connectivity Issue,high,resolved,2023-11-30
575,Access Denied Error,medium,closed,2022-02-28
576,Email Not Working,high,open,2024-01-24
577,System Crash,low,in progress,2022-01-13
578,Email Not Working,urgent,resolved,2022-04-27
579,Printer Not Responding,high,in progress,2024-08-22
580,Printer Not Responding,medium,on hold,2022-03-07
581,Printer Not Responding,high,resolved,2022-08-13
582,Printer Not Responding,medium,resolved,2023-04-05
583,Access Denied Error,medium,in progress,2022-11-30
584,Password Reset,low,open,2024-12-23
585,VPN Access Request,high,resolved,2023-09-04
586,Slow Computer Performance,medium,in progress,2024-08-06
587,VPN Access Request,high,closed,2024-11-13
588,Slow Computer Performance,low,resolved,2023-05-13
589,Printer Not Responding,high,on hold,2024-10-26
590,Account Lockout,high,in progress,2024-03-04
591,Account Lockout,medium,on hold,2024-01-19
592,Slow Computer Performance,high,resolved,2022-08-28
593,Network Connectivity Issue,high,open,2024-10-12
594,Password Reset,urgent,open,2023-12-08
595,Network Connectivity Issue,high,open,2022-05-02
596,Printer Not Responding,low,closed,2023-11-28
597,Software Installation,low,in progress,2024-08-22
598,Network Connectivity Issue,medium,on hold,2024-11-14
599,Account Lockout,high,closed,2024-09-23
600,Software Installation,urgent,on hold,2023-04-02
601,Slow Computer Performance,medium,open,2022-01-23
602,Email Not Working,high,in progress,2022-07-05
603,System Crash,medium,resolved,2024-07-26
604,Access Denied Error,medium,on hold,2024-04-19
605,Password Reset,high,closed,2023-04-13
606,Slow Computer Performance,high,resolved,2023-07-05
607,Slow Computer Performance,medium,closed,2022-07-04
608,Access Denied Error,medium,in progress,2022-02-09
609,Slow Computer Performance,high,resolved,2024-04-28
610,Email Not Working,high,resolved,2024-11-11
611,Email Not Working,medium,resolved,2022-11-12
612,Network Connectivity Issue,medium,resolved,2023-07-19
613,Account Lockout,urgent,closed,2024-12-26
