id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
23,TCKT-10023,Urgent,In Progress,Access,WiFi down,Issue details for ticket 23,2025-08-20,2025-08-27,tech13,2025-08-20 07:17:11
24,TCKT-10024,Low,Closed,Hardware,VPN issue,Issue details for ticket 24,2025-11-22,2025-12-01,tech24,2025-11-22 07:17:11
25,TCKT-10025,Low,Open,Hardware,Laptop not starting,Issue details for ticket 25,2025-06-25,2025-07-07,tech22,2025-06-25 07:17:11
26,TCKT-10026,Medium,Resolved,Hardware,Password reset,Issue details for ticket 26,2025-07-02,2025-07-07,tech33,2025-07-02 07:17:11
27,TCKT-10027,Low,Resolved,Software,Laptop not starting,Issue details for ticket 27,2025-09-01,2025-09-07,tech36,2025-09-01 07:17:11
28,TCKT-10028,Low,Resolved,Access,Application crash,Issue details for ticket 28,2025-02-17,,tech13,2025-02-17 07:17:11
29,TCKT-10029,High,In Progress,Software,WiFi down,Issue details for ticket 29,2024-12-13,,tech8,2024-12-13 07:17:11
30,TCKT-10030,Urgent,Open,Hardware,System slow,Issue details for ticket 30,2024-12-14,2024-12-16,tech11,2024-12-14 07:17:11
31,TCKT-10031,Urgent,In Progress,Security,WiFi down,Issue details for ticket 31,2025-03-05,2025-03-20,tech8,2025-03-05 07:17:11
32,TCKT-10032,Medium,Closed,Network,Account locked,Issue details for ticket 32,2025-09-12,2025-09-13,tech22,2025-09-12 07:17:11
33,TCKT-10033,Medium,Open,Access,Laptop not starting,Issue details for ticket 33,2025-10-15,2025-10-21,tech23,2025-10-15 07:17:11
34,TCKT-10034,Urgent,Resolved,Security,Laptop not starting,Issue details for ticket 34,2025-02-14,2025-02-28,tech28,2025-02-14 07:17:11
35,TCKT-10035,High,In Progress,Access,Email not syncing,Issue details for ticket 35,2025-04-27,2025-05-13,tech7,2025-04-27 07:17:11
36,TCKT-10036,High,Closed,Access,WiFi down,Issue details for ticket 36,2025-01-31,2025-02-10,tech22,2025-01-31 07:17:11
37,TCKT-10037,Low,Resolved,Network,Password reset,Issue details for ticket 37,2025-08-18,,tech12,2025-08-18 07:17:11
38,TCKT-10038,High,In Progress,Security,Email not syncing,Issue details for ticket 38,2025-06-12,2025-06-27,tech21,2025-06-12 07:17:11
39,TCKT-10039,Urgent,Resolved,Hardware,Application crash,Issue details for ticket 39,2025-11-12,2025-11-30,tech5,2025-11-12 07:17:11
40,TCKT-10040,Medium,Closed,Access,System slow,Issue details for ticket 40,2025-07-07,2025-07-23,tech13,2025-07-07 07:17:11
41,TCKT-10041,Medium,Resolved,Security,System slow,Issue details for ticket 41,2025-07-26,2025-07-28,tech2,2025-07-26 07:17:11
42,TCKT-10042,Medium,Resolved,Access,Account locked,Issue details for ticket 42,2025-08-19,2025-08-30,tech6,2025-08-19 07:17:11
43,TCKT-10043,High,Closed,Software,Laptop not starting,Issue details for ticket 43,2025-02-14,2025-02-25,tech12,2025-02-14 07:17:11
44,TCKT-10044,Urgent,In Progress,Hardware,WiFi down,Issue details for ticket 44,2025-01-08,2025-01-21,tech1,2025-01-08 07:17:11
45,TCKT-10045,Medium,Open,Software,Laptop not starting,Issue details for ticket 45,2025-09-21,2025-10-07,tech29,2025-09-21 07:17:11
46,TCKT-10046,Low,Closed,Security,Laptop not starting,Issue details for ticket 46,2025-02-27,2025-03-04,tech16,2025-02-27 07:17:11
47,TCKT-10047,High,Closed,Security,Email not syncing,Issue details for ticket 47,2025-05-25,2025-06-10,tech15,2025-05-25 07:17:11
48,TCKT-10048,Medium,In Progress,Access,System slow,Issue details for ticket 48,2025-04-19,2025-04-22,tech8,2025-04-19 07:17:11
49,TCKT-10049,High,In Progress,Network,Email not syncing,Issue details for ticket 49,2025-01-27,,tech3,2025-01-27 07:17:11
50,TCKT-10050,Urgent,In Progress,Access,System slow,Issue details for ticket 50,2025-07-06,2025-07-21,tech7,2025-07-06 07:17:11
51,TCKT-10051,Urgent,Open,Access,Email not syncing,Issue details for ticket 51,2025-03-31,2025-04-03,tech10,2025-03-31 07:17:11
52,TCKT-10052,High,Closed,Software,Email not syncing,Issue details for ticket 52,2025-05-10,2025-05-11,tech21,2025-05-10 07:17:11
53,TCKT-10053,Urgent,Closed,Security,Password reset,Issue details for ticket 53,2024-12-15,2024-12-18,tech25,2024-12-15 07:17:11
54,TCKT-10054,Medium,Open,Network,WiFi down,Issue details for ticket 54,2025-06-22,2025-06-30,tech15,2025-06-22 07:17:11
55,TCKT-10055,Low,Open,Access,Account locked,Issue details for ticket 55,2025-11-01,2025-11-06,tech1,2025-11-01 07:17:11
56,TCKT-10056,Low,Open,Software,WiFi down,Issue details for ticket 56,2025-06-14,,tech23,2025-06-14 07:17:11
57,TCKT-10057,High,Open,Security,WiFi down,Issue details for ticket 57,2025-08-13,2025-08-21,tech36,2025-08-13 07:17:11
58,TCKT-10058,Low,Closed,Security,Application crash,Issue details for ticket 58,2025-01-13,2025-01-14,tech24,2025-01-13 07:17:11
59,TCKT-10059,Low,In Progress,Hardware,System slow,Issue details for ticket 59,2025-04-30,2025-05-16,tech8,2025-04-30 07:17:11
60,TCKT-10060,Low,Closed,Security,Email not syncing,Issue details for ticket 60,2025-05-03,,tech2,2025-05-03 07:17:11
61,TCKT-10061,Low,Resolved,Software,WiFi down,Issue details for ticket 61,2025-06-14,2025-06-16,tech21,2025-06-14 07:17:11
62,TCKT-10062,Urgent,Closed,Network,Account locked,Issue details for ticket 62,2025-10-14,2025-10-17,tech27,2025-10-14 07:17:11
63,TCKT-10063,High,In Progress,Software,Laptop not starting,Issue details for ticket 63,2025-03-30,2025-04-16,tech34,2025-03-30 07:17:11
64,TCKT-10064,High,In Progress,Security,Application crash,Issue details for ticket 64,2025-10-11,2025-10-17,tech25,2025-10-11 07:17:11
65,TCKT-10065,Medium,Open,Access,VPN issue,Issue details for ticket 65,2025-07-04,2025-07-22,tech1,2025-07-04 07:17:11
66,TCKT-10066,High,Open,Access,VPN issue,Issue details for ticket 66,2025-02-03,,tech17,2025-02-03 07:17:11
67,TCKT-10067,High,In Progress,Security,VPN issue,Issue details for ticket 67,2025-10-15,2025-10-26,tech22,2025-10-15 07:17:11
68,TCKT-10068,Low,Resolved,Network,Email not syncing,Issue details for ticket 68,2025-06-05,2025-06-07,tech15,2025-06-05 07:17:11
69,TCKT-10069,Medium,In Progress,Hardware,WiFi down,Issue details for ticket 69,2025-08-16,2025-08-18,tech18,2025-08-16 07:17:11
70,TCKT-10070,Medium,Resolved,Security,Application crash,Issue details for ticket 70,2025-10-04,2025-10-16,tech28,2025-10-04 07:17:11
71,TCKT-10071,Urgent,In Progress,Software,VPN issue,Issue details for ticket 71,2025-01-30,,tech25,2025-01-30 07:17:11
72,TCKT-10072,High,Open,Software,System slow,Issue details for ticket 72,2025-07-23,,tech21,2025-07-23 07:17:11
73,TCKT-10073,High,Closed,Hardware,Account locked,Issue details for ticket 73,2025-10-31,,tech28,2025-10-31 07:17:11
74,TCKT-10074,Medium,In Progress,Security,System slow,Issue details for ticket 74,2025-04-23,,tech35,2025-04-23 07:17:11
75,TCKT-10075,Medium,Resolved,Network,Account locked,Issue details for ticket 75,2025-11-19,2025-11-30,tech37,2025-11-19 07:17:11
76,TCKT-10076,Medium,Open,Network,WiFi down,Issue details for ticket 76,2024-12-12,2024-12-19,tech12,2024-12-12 07:17:11
77,TCKT-10077,High,Open,Network,Password reset,Issue details for ticket 77,2025-02-18,,tech6,2025-02-18 07:17:11
78,TCKT-10078,Medium,Open,Software,Password reset,Issue details for ticket 78,2025-10-20,2025-10-31,tech37,2025-10-20 07:17:11
79,TCKT-10079,High,Open,Security,Password reset,Issue details for ticket 79,2025-01-07,2025-01-13,tech35,2025-01-07 07:17:11
80,TCKT-10080,High,Resolved,Software,Account locked,Issue details for ticket 80,2025-03-25,2025-03-28,tech24,2025-03-25 07:17:11
81,TCKT-10081,Urgent,Resolved,Security,Email not syncing,Issue details for ticket 81,2025-06-19,2025-06-30,tech13,2025-06-19 07:17:11
82,TCKT-10082,Medium,In Progress,Software,System slow,Issue details for ticket 82,2025-03-31,2025-04-03,tech40,2025-03-31 07:17:11
83,TCKT-10083,Low,Resolved,Hardware,Account locked,Issue details for ticket 83,2024-12-10,2024-12-17,tech32,2024-12-10 07:17:11
84,TCKT-10084,High,Closed,Access,System slow,Issue details for ticket 84,2025-07-30,2025-08-02,tech27,2025-07-30 07:17:11
85,TCKT-10085,Medium,In Progress,Network,System slow,Issue details for ticket 85,2025-08-08,2025-08-28,tech7,2025-08-08 07:17:11
86,TCKT-10086,High,In Progress,Security,Password reset,Issue details for ticket 86,2025-09-21,2025-10-09,tech36,2025-09-21 07:17:11
87,TCKT-10087,Urgent,Resolved,Software,WiFi down,Issue details for ticket 87,2025-09-04,2025-09-18,tech12,2025-09-04 07:17:11
88,TCKT-10088,Urgent,Closed,Hardware,Email not syncing,Issue details for ticket 88,2025-10-05,2025-10-07,tech2,2025-10-05 07:17:11
89,TCKT-10089,Low,Resolved,Access,Password reset,Issue details for ticket 89,2025-03-09,2025-03-18,tech26,2025-03-09 07:17:11
90,TCKT-10090,Urgent,In Progress,Software,VPN issue,Issue details for ticket 90,2025-07-10,2025-07-26,tech32,2025-07-10 07:17:11
91,TCKT-10091,High,In Progress,Security,System slow,Issue details for ticket 91,2025-11-11,2025-11-23,tech7,2025-11-11 07:17:11
92,TCKT-10092,Low,Open,Network,WiFi down,Issue details for ticket 92,2025-05-05,,tech14,2025-05-05 07:17:11
93,TCKT-10093,High,In Progress,Access,Email not syncing,Issue details for ticket 93,2025-05-13,,tech5,2025-05-13 07:17:11
94,TCKT-10094,Urgent,Closed,Security,System slow,Issue details for ticket 94,2025-06-05,2025-06-13,tech27,2025-06-05 07:17:11
95,TCKT-10095,High,Resolved,Hardware,System slow,Issue details for ticket 95,2025-06-03,2025-06-10,tech25,2025-06-03 07:17:11
96,TCKT-10096,High,In Progress,Hardware,WiFi down,Issue details for ticket 96,2025-11-24,,tech36,2025-11-24 07:17:11
97,TCKT-10097,Medium,Resolved,Security,Application crash,Issue details for ticket 97,2025-05-22,2025-05-28,tech9,2025-05-22 07:17:11
98,TCKT-10098,Urgent,In Progress,Hardware,WiFi down,Issue details for ticket 98,2025-06-03,2025-06-08,tech24,2025-06-03 07:17:11
99,TCKT-10099,Urgent,Open,Network,Laptop not starting,Issue details for ticket 99,2025-10-15,2025-10-20,tech16,2025-10-15 07:17:11
100,TCKT-10100,Medium,Closed,Hardware,Laptop not starting,Issue details for ticket 100,2025-05-15,2025-06-02,tech24,2025-05-15 07:17:11
101,TCKT-10101,Low,Resolved,Security,Email not syncing,Issue details for ticket 101,2025-03-31,2025-04-02,tech11,2025-03-31 07:17:11
102,TCKT-10102,Medium,Resolved,Hardware,Account locked,Issue details for ticket 102,2025-03-11,2025-03-24,tech19,2025-03-11 07:17:11
103,TCKT-10103,Low,Open,Software,Application crash,Issue details for ticket 103,2025-01-24,2025-02-13,tech18,2025-01-24 07:17:11
104,TCKT-10104,Low,Open,Software,Password reset,Issue details for ticket 104,2025-10-13,2025-10-28,tech2,2025-10-13 07:17:11
105,TCKT-10105,Low,Closed,Security,Email not syncing,Issue details for ticket 105,2025-04-19,2025-05-02,tech23,2025-04-19 07:17:11
106,TCKT-10106,Low,Open,Software,VPN issue,Issue details for ticket 106,2025-08-22,2025-09-02,tech12,2025-08-22 07:17:11
107,TCKT-10107,Medium,Open,Software,System slow,Issue details for ticket 107,2025-05-21,2025-05-24,tech18,2025-05-21 07:17:11
108,TCKT-10108,Urgent,Closed,Network,Password reset,Issue details for ticket 108,2025-05-24,2025-05-30,tech12,2025-05-24 07:17:11
109,TCKT-10109,Medium,In Progress,Software,WiFi down,Issue details for ticket 109,2025-08-29,2025-09-15,tech28,2025-08-29 07:17:11
110,TCKT-10110,Medium,In Progress,Security,Email not syncing,Issue details for ticket 110,2025-08-07,,tech1,2025-08-07 07:17:11
111,TCKT-10111,Low,Open,Security,Laptop not starting,Issue details for ticket 111,2025-08-13,,tech13,2025-08-13 07:17:11
112,TCKT-10112,High,Open,Access,System slow,Issue details for ticket 112,2025-07-19,2025-07-21,tech11,2025-07-19 07:17:11
113,TCKT-10113,Urgent,Closed,Software,Application crash,Issue details for ticket 113,2025-03-27,,tech7,2025-03-27 07:17:11
114,TCKT-10114,Medium,Resolved,Security,Email not syncing,Issue details for ticket 114,2025-09-20,2025-09-22,tech13,2025-09-20 07:17:11
115,TCKT-10115,Medium,Open,Hardware,Application crash,Issue details for ticket 115,2025-01-08,,tech31,2025-01-08 07:17:11
116,TCKT-10116,Medium,Resolved,Network,Email not syncing,Issue details for ticket 116,2025-04-05,,tech32,2025-04-05 07:17:11
117,TCKT-10117,Low,In Progress,Software,WiFi down,Issue details for ticket 117,2025-04-10,2025-04-18,tech39,2025-04-10 07:17:11
118,TCKT-10118,Medium,Resolved,Access,WiFi down,Issue details for ticket 118,2025-05-10,2025-05-16,tech15,2025-05-10 07:17:11
119,TCKT-10119,High,Closed,Network,Email not syncing,Issue details for ticket 119,2025-08-06,2025-08-26,tech29,2025-08-06 07:17:11
120,TCKT-10120,Medium,Open,Network,System slow,Issue details for ticket 120,2024-12-26,2025-01-02,tech27,2024-12-26 07:17:11
121,TCKT-10121,Urgent,Resolved,Security,Laptop not starting,Issue details for ticket 121,2025-01-12,,tech34,2025-01-12 07:17:11
122,TCKT-10122,Urgent,Open,Network,Laptop not starting,Issue details for ticket 122,2025-06-03,2025-06-15,tech6,2025-06-03 07:17:11
123,TCKT-10123,Urgent,Resolved,Security,Email not syncing,Issue details for ticket 123,2025-11-28,2025-12-18,tech13,2025-11-28 07:17:11
124,TCKT-10124,High,Closed,Access,Laptop not starting,Issue details for ticket 124,2025-09-23,2025-10-05,tech22,2025-09-23 07:17:11
125,TCKT-10125,Urgent,Closed,Network,Email not syncing,Issue details for ticket 125,2025-10-15,2025-10-29,tech21,2025-10-15 07:17:11
126,TCKT-10126,Urgent,Open,Access,Account locked,Issue details for ticket 126,2025-10-07,2025-10-20,tech14,2025-10-07 07:17:11
127,TCKT-10127,Medium,Open,Security,System slow,Issue details for ticket 127,2025-08-22,,tech33,2025-08-22 07:17:11
128,TCKT-10128,Urgent,In Progress,Security,VPN issue,Issue details for ticket 128,2025-06-28,2025-07-15,tech26,2025-06-28 07:17:11
129,TCKT-10129,Medium,Resolved,Software,VPN issue,Issue details for ticket 129,2025-04-22,2025-04-27,tech36,2025-04-22 07:17:11
130,TCKT-10130,Medium,Resolved,Security,WiFi down,Issue details for ticket 130,2024-12-16,2025-01-02,tech40,2024-12-16 07:17:11
131,TCKT-10131,Low,Open,Network,VPN issue,Issue details for ticket 131,2025-04-27,2025-05-05,tech38,2025-04-27 07:17:11
132,TCKT-10132,Medium,Open,Security,VPN issue,Issue details for ticket 132,2025-11-27,2025-12-05,tech2,2025-11-27 07:17:11
133,TCKT-10133,Medium,Open,Access,Account locked,Issue details for ticket 133,2025-08-30,2025-09-15,tech4,2025-08-30 07:17:11
134,TCKT-10134,High,Closed,Network,WiFi down,Issue details for ticket 134,2025-06-29,,tech32,2025-06-29 07:17:11
135,TCKT-10135,Medium,Resolved,Access,Password reset,Issue details for ticket 135,2025-03-13,2025-03-18,tech10,2025-03-13 07:17:11
136,TCKT-10136,Medium,Open,Software,Account locked,Issue details for ticket 136,2025-07-05,,tech22,2025-07-05 07:17:11
137,TCKT-10137,High,In Progress,Hardware,Application crash,Issue details for ticket 137,2024-12-11,2024-12-22,tech17,2024-12-11 07:17:11
138,TCKT-10138,Urgent,In Progress,Software,Password reset,Issue details for ticket 138,2025-05-30,2025-06-08,tech29,2025-05-30 07:17:11
139,TCKT-10139,Urgent,In Progress,Hardware,WiFi down,Issue details for ticket 139,2025-10-08,,tech8,2025-10-08 07:17:11
140,TCKT-10140,Medium,Closed,Network,Account locked,Issue details for ticket 140,2024-12-10,2024-12-29,tech11,2024-12-10 07:17:11
141,TCKT-10141,Urgent,Closed,Hardware,Password reset,Issue details for ticket 141,2025-03-07,2025-03-09,tech8,2025-03-07 07:17:11
142,TCKT-10142,Medium,In Progress,Security,Laptop not starting,Issue details for ticket 142,2025-06-23,2025-06-30,tech39,2025-06-23 07:17:11
143,TCKT-10143,Low,Closed,Software,Email not syncing,Issue details for ticket 143,2025-09-24,2025-09-25,tech4,2025-09-24 07:17:11
144,TCKT-10144,Medium,Closed,Security,Email not syncing,Issue details for ticket 144,2025-04-20,2025-05-03,tech23,2025-04-20 07:17:11
145,TCKT-10145,High,Open,Software,Laptop not starting,Issue details for ticket 145,2025-05-20,2025-06-01,tech8,2025-05-20 07:17:11
146,TCKT-10146,High,In Progress,Security,Email not syncing,Issue details for ticket 146,2025-01-03,2025-01-04,tech40,2025-01-03 07:17:11
147,TCKT-10147,Urgent,In Progress,Network,Email not syncing,Issue details for ticket 147,2025-10-25,2025-11-11,tech32,2025-10-25 07:17:11
148,TCKT-10148,Urgent,Open,Network,Application crash,Issue details for ticket 148,2025-12-01,2025-12-07,tech21,2025-12-01 07:17:11
149,TCKT-10149,High,Closed,Software,Application crash,Issue details for ticket 149,2025-04-10,2025-04-24,tech40,2025-04-10 07:17:11
150,TCKT-10150,Low,Resolved,Hardware,System slow,Issue details for ticket 150,2025-06-24,,tech25,2025-06-24 07:17:11
151,TCKT-10151,Urgent,Open,Hardware,System slow,Issue details for ticket 151,2025-05-24,2025-06-03,tech14,2025-05-24 07:17:11
152,TCKT-10152,High,Resolved,Security,System slow,Issue details for ticket 152,2025-01-17,2025-01-24,tech21,2025-01-17 07:17:11
153,TCKT-10153,High,In Progress,Security,Account locked,Issue details for ticket 153,2025-08-01,2025-08-10,tech22,2025-08-01 07:17:11
154,TCKT-10154,Medium,Closed,Hardware,Application crash,Issue details for ticket 154,2025-07-30,,tech32,2025-07-30 07:17:11
155,TCKT-10155,Low,In Progress,Software,Account locked,Issue details for ticket 155,2025-07-12,2025-07-25,tech22,2025-07-12 07:17:11
156,TCKT-10156,Low,Resolved,Access,WiFi down,Issue details for ticket 156,2025-03-23,2025-04-03,tech25,2025-03-23 07:17:11
157,TCKT-10157,Urgent,In Progress,Software,System slow,Issue details for ticket 157,2025-04-05,2025-04-18,tech34,2025-04-05 07:17:11
158,TCKT-10158,Medium,Closed,Hardware,Email not syncing,Issue details for ticket 158,2025-08-09,2025-08-21,tech25,2025-08-09 07:17:11
159,TCKT-10159,Medium,Closed,Hardware,WiFi down,Issue details for ticket 159,2024-12-09,2024-12-17,tech30,2024-12-09 07:17:11
160,TCKT-10160,High,In Progress,Security,Password reset,Issue details for ticket 160,2025-08-21,2025-09-09,tech33,2025-08-21 07:17:11
161,TCKT-10161,High,Closed,Hardware,Application crash,Issue details for ticket 161,2025-07-28,2025-08-08,tech15,2025-07-28 07:17:11
162,TCKT-10162,Urgent,Open,Access,VPN issue,Issue details for ticket 162,2025-02-17,2025-02-27,tech19,2025-02-17 07:17:11
163,TCKT-10163,Urgent,Resolved,Software,System slow,Issue details for ticket 163,2025-07-13,2025-08-02,tech14,2025-07-13 07:17:11
164,TCKT-10164,High,Resolved,Network,Laptop not starting,Issue details for ticket 164,2025-06-05,2025-06-16,tech30,2025-06-05 07:17:11
165,TCKT-10165,Low,Closed,Network,Application crash,Issue details for ticket 165,2025-10-19,2025-10-29,tech4,2025-10-19 07:17:11
166,TCKT-10166,Urgent,In Progress,Security,WiFi down,Issue details for ticket 166,2025-09-15,2025-09-18,tech12,2025-09-15 07:17:11
167,TCKT-10167,Urgent,In Progress,Security,Password reset,Issue details for ticket 167,2025-09-20,2025-09-21,tech25,2025-09-20 07:17:11
168,TCKT-10168,Low,Closed,Security,Password reset,Issue details for ticket 168,2025-08-07,2025-08-09,tech32,2025-08-07 07:17:11
169,TCKT-10169,Urgent,Resolved,Network,Application crash,Issue details for ticket 169,2025-08-14,2025-08-31,tech23,2025-08-14 07:17:11
170,TCKT-10170,Low,In Progress,Security,Password reset,Issue details for ticket 170,2025-09-13,2025-09-15,tech38,2025-09-13 07:17:11
171,TCKT-10171,Medium,Open,Access,Laptop not starting,Issue details for ticket 171,2025-09-01,2025-09-12,tech21,2025-09-01 07:17:11
172,TCKT-10172,Urgent,Resolved,Access,VPN issue,Issue details for ticket 172,2025-11-20,2025-11-28,tech31,2025-11-20 07:17:11
173,TCKT-10173,Urgent,Closed,Hardware,System slow,Issue details for ticket 173,2025-11-01,2025-11-14,tech11,2025-11-01 07:17:11
174,TCKT-10174,Medium,Open,Security,Account locked,Issue details for ticket 174,2025-12-02,2025-12-07,tech9,2025-12-02 07:17:11
175,TCKT-10175,Urgent,Open,Network,Email not syncing,Issue details for ticket 175,2025-09-27,2025-09-28,tech27,2025-09-27 07:17:11
176,TCKT-10176,Medium,In Progress,Access,Account locked,Issue details for ticket 176,2025-07-20,2025-08-02,tech36,2025-07-20 07:17:11
177,TCKT-10177,Medium,In Progress,Access,WiFi down,Issue details for ticket 177,2025-07-29,2025-08-03,tech34,2025-07-29 07:17:11
178,TCKT-10178,High,Closed,Access,Password reset,Issue details for ticket 178,2025-11-15,2025-11-17,tech39,2025-11-15 07:17:11
179,TCKT-10179,Medium,Resolved,Hardware,VPN issue,Issue details for ticket 179,2025-01-26,2025-02-12,tech26,2025-01-26 07:17:11
180,TCKT-10180,Medium,Closed,Access,WiFi down,Issue details for ticket 180,2025-01-15,2025-01-26,tech3,2025-01-15 07:17:11
181,TCKT-10181,High,Open,Hardware,Account locked,Issue details for ticket 181,2025-06-20,2025-07-06,tech16,2025-06-20 07:17:11
182,TCKT-10182,Low,Open,Network,Email not syncing,Issue details for ticket 182,2025-08-18,2025-08-28,tech5,2025-08-18 07:17:11
183,TCKT-10183,Medium,In Progress,Security,System slow,Issue details for ticket 183,2025-09-20,,tech5,2025-09-20 07:17:11
184,TCKT-10184,Low,In Progress,Software,VPN issue,Issue details for ticket 184,2025-06-05,,tech16,2025-06-05 07:17:11
185,TCKT-10185,Medium,Resolved,Security,Laptop not starting,Issue details for ticket 185,2025-03-08,2025-03-15,tech6,2025-03-08 07:17:11
186,TCKT-10186,Low,Open,Security,WiFi down,Issue details for ticket 186,2025-09-09,2025-09-27,tech16,2025-09-09 07:17:11
187,TCKT-10187,Urgent,In Progress,Access,Email not syncing,Issue details for ticket 187,2025-02-12,2025-02-20,tech36,2025-02-12 07:17:11
188,TCKT-10188,Medium,Closed,Hardware,Laptop not starting,Issue details for ticket 188,2025-01-12,2025-01-17,tech28,2025-01-12 07:17:11
189,TCKT-10189,High,Open,Software,Laptop not starting,Issue details for ticket 189,2025-02-21,,tech33,2025-02-21 07:17:11
190,TCKT-10190,Low,Closed,Network,WiFi down,Issue details for ticket 190,2025-02-19,2025-03-03,tech7,2025-02-19 07:17:11
191,TCKT-10191,Low,Resolved,Access,Password reset,Issue details for ticket 191,2025-01-10,2025-01-25,tech40,2025-01-10 07:17:11
192,TCKT-10192,Medium,Resolved,Hardware,VPN issue,Issue details for ticket 192,2025-10-13,2025-10-16,tech32,2025-10-13 07:17:11
193,TCKT-10193,High,Open,Access,VPN issue,Issue details for ticket 193,2024-12-12,,tech4,2024-12-12 07:17:11
194,TCKT-10194,High,Open,Access,System slow,Issue details for ticket 194,2025-10-01,2025-10-05,tech24,2025-10-01 07:17:11
195,TCKT-10195,Medium,Closed,Access,Password reset,Issue details for ticket 195,2025-07-20,,tech13,2025-07-20 07:17:11
196,TCKT-10196,Low,Resolved,Hardware,Email not syncing,Issue details for ticket 196,2025-01-03,2025-01-14,tech31,2025-01-03 07:17:11
197,TCKT-10197,Medium,Resolved,Hardware,WiFi down,Issue details for ticket 197,2025-01-07,2025-01-27,tech12,2025-01-07 07:17:11
198,TCKT-10198,High,In Progress,Network,Account locked,Issue details for ticket 198,2025-06-03,2025-06-13,tech26,2025-06-03 07:17:11
199,TCKT-10199,Urgent,Closed,Security,Laptop not starting,Issue details for ticket 199,2025-01-10,2025-01-29,tech26,2025-01-10 07:17:11
200,TCKT-10200,Urgent,Open,Hardware,Application crash,Issue details for ticket 200,2025-10-06,2025-10-12,tech13,2025-10-06 07:17:11
201,TCKT-10201,Urgent,In Progress,Network,Email not syncing,Issue details for ticket 201,2025-01-04,2025-01-15,tech5,2025-01-04 07:17:11
202,TCKT-10202,Urgent,Closed,Network,Password reset,Issue details for ticket 202,2025-12-05,2025-12-15,tech12,2025-12-05 07:17:11
203,TCKT-10203,Medium,In Progress,Security,Email not syncing,Issue details for ticket 203,2025-09-29,2025-10-08,tech6,2025-09-29 07:17:11
204,TCKT-10204,High,Open,Hardware,VPN issue,Issue details for ticket 204,2025-06-07,,tech23,2025-06-07 07:17:11
205,TCKT-10205,Medium,In Progress,Access,WiFi down,Issue details for ticket 205,2024-12-29,2025-01-13,tech21,2024-12-29 07:17:11
