id,title,severity,status,date
75,Incident 75: Phishing,high,resolved,2023-12-25
76,Incident 76: Unauthorized Access,medium,resolved,2023-07-08
77,Incident 77: DDoS,critical,closed,2023-11-17
78,Incident 78: Data Leak,low,closed,2024-05-04
79,Incident 79: DDoS,low,resolved,2024-06-19
80,Incident 80: DDoS,critical,closed,2023-11-22
81,Incident 81: Malware,critical,closed,2024-06-05
82,Incident 82: Data Leak,medium,closed,2024-10-14
83,Incident 83: Unauthorized Access,low,open,2023-04-15
84,Incident 84: DDoS,high,resolved,2023-01-31
85,Incident 85: Malware,critical,resolved,2024-03-31
86,Incident 86: Phishing,low,resolved,2023-02-12
87,Incident 87: Unauthorized Access,critical,open,2023-12-10
88,Incident 88: Unauthorized Access,medium,in progress,2023-04-07
89,Incident 89: Malware,critical,in progress,2024-07-22
90,Incident 90: Malware,low,in progress,2023-07-23
91,Incident 91: DDoS,critical,resolved,2024-04-14
92,Incident 92: Malware,low,open,2023-02-05
93,Incident 93: Unauthorized Access,medium,closed,2024-11-28
94,Incident 94: Malware,critical,closed,2024-06-21
95,Incident 95: Malware,critical,in progress,2024-06-04
96,Incident 96: Phishing,low,resolved,2024-11-14
97,Incident 97: Data Leak,low,resolved,2023-02-18
98,Incident 98: Data Leak,critical,open,2023-09-02
99,Incident 99: Phishing,low,in progress,2023-04-10
100,Incident 100: Phishing,high,open,2023-07-30
101,Incident 101: DDoS,low,closed,2024-08-04
102,Incident 102: Unauthorized Access,high,in progress,2023-07-20
103,Incident 103: Data Leak,low,in progress,2023-09-24
104,Incident 104: Unauthorized Access,critical,in progress,2023-12-18
105,Incident 105: Phishing,medium,resolved,2024-03-23
106,Incident 106: Data Leak,high,resolved,2023-04-24
107,Incident 107: Malware,high,resolved,2023-11-19
108,Incident 108: DDoS,high,open,2024-04-21
109,Incident 109: Unauthorized Access,critical,open,2023-04-24
110,Incident 110: Malware,critical,open,2024-09-25
111,Incident 111: DDoS,low,closed,2023-08-01
112,Incident 112: Unauthorized Access,high,resolved,2023-03-01
113,Incident 113: Malware,low,in progress,2023-04-01
114,Incident 114: Phishing,low,resolved,2023-12-01
115,Incident 115: DDoS,medium,resolved,2024-04-19
116,Incident 116: Phishing,high,open,2024-04-09
117,Incident 117: Unauthorized Access,high,closed,2024-07-11
118,Incident 118: Phishing,critical,closed,2024-07-11
119,Incident 119: Phishing,high,open,2024-02-06
120,Incident 120: Data Leak,medium,closed,2024-09-04
121,Incident 121: Unauthorized Access,high,closed,2024-02-24
122,Incident 122: Phishing,high,resolved,2023-04-13
123,Incident 123: Phishing,low,open,2024-08-09
124,Incident 124: Data Leak,low,open,2024-11-05
125,Incident 125: Unauthorized Access,high,in progress,2023-12-13
126,Incident 126: DDoS,critical,closed,2024-11-27
127,Incident 127: Data Leak,low,in progress,2023-01-25
128,Incident 128: Data Leak,low,resolved,2024-05-07
129,Incident 129: Unauthorized Access,critical,resolved,2024-05-07
130,Incident 130: Unauthorized Access,critical,open,2024-01-01
131,Incident 131: Data Leak,low,closed,2023-08-30
132,Incident 132: Malware,critical,open,2024-04-19
133,Incident 133: Malware,high,in progress,2024-11-27
134,Incident 134: Unauthorized Access,critical,in progress,2024-03-22
135,Incident 135: Phishing,high,resolved,2023-11-12
136,Incident 136: Phishing,low,open,2024-11-02
137,Incident 137: Unauthorized Access,medium,closed,2023-06-26
138,Incident 138: Malware,low,resolved,2023-12-19
139,Incident 139: Data Leak,medium,resolved,2024-06-28
140,Incident 140: Phishing,low,open,2024-10-04
141,Incident 141: DDoS,medium,open,2024-09-16
142,Incident 142: DDoS,critical,in progress,2024-06-10
143,Incident 143: Phishing,critical,open,2023-07-05
144,Incident 144: Phishing,high,resolved,2024-01-08
145,Incident 145: Data Leak,low,resolved,2023-09-11
146,Incident 146: Phishing,high,in progress,2023-05-27
147,Incident 147: Data Leak,low,open,2023-11-16
148,Incident 148: Unauthorized Access,medium,resolved,2024-06-15
149,Incident 149: Unauthorized Access,low,in progress,2023-01-07
150,Incident 150: Phishing,medium,in progress,2023-08-15
151,Incident 151: Unauthorized Access,low,open,2023-08-23
152,Incident 152: Unauthorized Access,high,open,2023-02-18
153,Incident 153: DDoS,high,in progress,2023-09-13
154,Incident 154: Data Leak,high,open,2023-07-04
155,Incident 155: Data Leak,low,closed,2023-07-18
156,Incident 156: Phishing,medium,open,2023-06-29
157,Incident 157: Phishing,low,in progress,2024-01-04
158,Incident 158: Phishing,low,open,2023-01-31
159,Incident 159: Malware,critical,open,2023-03-16
160,Incident 160: Malware,critical,in progress,2024-05-22
161,Incident 161: Phishing,medium,in progress,2024-08-30
162,Incident 162: Phishing,medium,resolved,2023-06-12
163,Incident 163: Phishing,critical,resolved,2024-09-09
164,Incident 164: Malware,low,open,2024-11-10
165,Incident 165: Unauthorized Access,high,resolved,2024-07-05
166,Incident 166: Unauthorized Access,medium,in progress,2023-01-21
167,Incident 167: Malware,critical,closed,2024-05-07
168,Incident 168: Phishing,high,in progress,2023-03-29
169,Incident 169: DDoS,high,open,2023-10-17
170,Incident 170: Phishing,high,in progress,2023-11-10
171,Incident 171: Unauthorized Access,critical,resolved,2023-01-11
172,Incident 172: Phishing,medium,resolved,2023-07-22
173,Incident 173: DDoS,low,resolved,2023-08-27
174,Incident 174: Unauthorized Access,medium,in progress,2023-06-12
175,Incident 175: Malware,low,in progress,2024-02-22
176,Incident 176: DDoS,high,closed,2023-01-11
177,Incident 177: Data Leak,medium,in progress,2023-09-10
178,Incident 178: DDoS,medium,closed,2024-08-06
179,Incident 179: Malware,high,open,2023-03-08
180,Incident 180: Phishing,low,in progress,2024-02-28
181,Incident 181: Malware,critical,open,2024-09-11
182,Incident 182: Malware,high,closed,2024-11-16
183,Incident 183: Malware,high,closed,2023-09-04
184,Incident 184: Unauthorized Access,medium,closed,2023-09-24
185,Incident 185: DDoS,critical,open,2023-03-29
186,Incident 186: Phishing,low,closed,2024-03-26
187,Incident 187: Phishing,critical,closed,2024-08-08
188,Incident 188: Phishing,high,in progress,2023-10-15
189,Incident 189: Unauthorized Access,medium,open,2023-11-07
190,Incident 190: Data Leak,high,closed,2023-04-21
191,Incident 191: Unauthorized Access,medium,open,2023-03-19
192,Incident 192: Malware,low,closed,2023-09-21
193,Incident 193: Malware,critical,in progress,2023-07-18
194,Incident 194: Phishing,low,in progress,2024-02-16
195,Incident 195: Malware,high,resolved,2024-06-08
196,Incident 196: DDoS,low,closed,2024-02-15
197,Incident 197: Unauthorized Access,medium,closed,2024-04-04
198,Incident 198: Phishing,low,open,2024-10-31
199,Incident 199: DDoS,low,resolved,2023-09-30
200,Incident 200: Phishing,critical,closed,2024-10-14
201,Incident 201: DDoS,low,in progress,2023-08-20
202,Incident 202: Phishing,medium,in progress,2023-01-14
203,Incident 203: Unauthorized Access,high,open,2024-11-29
204,Incident 204: Malware,low,closed,2023-08-24
205,Incident 205: Data Leak,low,resolved,2023-01-06
206,Incident 206: Unauthorized Access,low,open,2023-04-01
207,Incident 207: Data Leak,low,closed,2024-06-14
208,Incident 208: Malware,low,open,2023-06-20
209,Incident 209: Data Leak,high,closed,2023-04-13
210,Incident 210: DDoS,medium,open,2024-07-16
211,Incident 211: Data Leak,critical,open,2023-11-29
212,Incident 212: DDoS,high,in progress,2023-10-19
213,Incident 213: Data Leak,critical,open,2024-07-26
214,Incident 214: Phishing,medium,resolved,2024-07-07
215,Incident 215: Phishing,high,open,2024-04-18
216,Incident 216: Data Leak,high,closed,2024-05-31
217,Incident 217: Malware,critical,resolved,2024-03-31
218,Incident 218: Data Leak,critical,closed,2024-08-11
219,Incident 219: Data Leak,critical,in progress,2023-11-05
220,Incident 220: DDoS,high,resolved,2024-03-24
221,Incident 221: Data Leak,critical,in progress,2024-03-17
222,Incident 222: Phishing,critical,in progress,2023-08-13
223,Incident 223: Unauthorized Access,high,open,2023-11-09
224,Incident 224: Data Leak,medium,open,2024-01-09
225,Incident 225: DDoS,high,open,2023-01-23
226,Incident 226: DDoS,low,closed,2023-04-13
227,Incident 227: Data Leak,critical,closed,2024-09-03
228,Incident 228: Unauthorized Access,medium,resolved,2024-03-19
229,Incident 229: Unauthorized Access,high,open,2024-10-05
230,Incident 230: Unauthorized Access,medium,closed,2023-03-30
231,Incident 231: Malware,high,closed,2023-03-09
232,Incident 232: Unauthorized Access,critical,in progress,2023-06-27
233,Incident 233: Phishing,medium,closed,2024-05-01
234,Incident 234: Malware,critical,open,2023-01-05
235,Incident 235: Unauthorized Access,critical,in progress,2023-08-31
236,Incident 236: Phishing,medium,in progress,2023-04-20
237,Incident 237: Malware,low,open,2023-10-18
238,Incident 238: Unauthorized Access,high,open,2023-11-03
239,Incident 239: Unauthorized Access,medium,resolved,2024-06-10
240,Incident 240: Data Leak,high,in progress,2024-07-03
241,Incident 241: Malware,medium,resolved,2024-08-22
242,Incident 242: Data Leak,critical,in progress,2024-07-28
243,Incident 243: Data Leak,low,open,2023-12-13
244,Incident 244: Malware,medium,open,2024-04-13
245,Incident 245: Data Leak,critical,open,2023-02-10
246,Incident 246: Malware,medium,closed,2024-04-04
247,Incident 247: Malware,low,resolved,2024-05-10
248,Incident 248: DDoS,low,open,2023-01-02
249,Incident 249: Phishing,critical,resolved,2024-07-26
250,Incident 250: DDoS,critical,resolved,2023-03-28
251,Incident 251: Unauthorized Access,high,in progress,2023-06-17
252,Incident 252: Phishing,medium,open,2024-09-16
253,Incident 253: Data Leak,medium,closed,2024-05-12
254,Incident 254: Malware,low,resolved,2023-05-05
255,Incident 255: Unauthorized Access,high,closed,2023-07-07
256,Incident 256: DDoS,critical,closed,2023-06-14
257,Incident 257: Malware,high,in progress,2024-03-08
258,Incident 258: Malware,low,open,2023-09-06
259,Incident 259: Malware,medium,in progress,2023-03-14
260,Incident 260: Phishing,high,closed,2023-08-22
261,Incident 261: Malware,medium,in progress,2024-11-09
262,Incident 262: Malware,critical,in progress,2024-04-26
263,Incident 263: DDoS,low,open,2024-07-20
264,Incident 264: DDoS,low,open,2023-05-26
265,Incident 265: Phishing,critical,closed,2023-05-28
266,Incident 266: Data Leak,high,closed,2023-08-28
267,Incident 267: DDoS,medium,resolved,2024-07-11
268,Incident 268: Phishing,critical,open,2024-06-17
269,Incident 269: Phishing,critical,closed,2024-08-13
270,Incident 270: DDoS,high,resolved,2023-11-09
271,Incident 271: Malware,low,in progress,2023-07-05
272,Incident 272: Data Leak,medium,resolved,2024-02-22
273,Incident 273: Unauthorized Access,high,closed,2024-02-24
274,Incident 274: Unauthorized Access,medium,closed,2023-09-03
275,Incident 275: Malware,medium,in progress,2024-04-14
276,Incident 276: Phishing,critical,open,2023-10-18
277,Incident 277: Data Leak,medium,open,2024-03-21
278,Incident 278: Unauthorized Access,medium,in progress,2023-04-21
279,Incident 279: Unauthorized Access,critical,closed,2024-05-20
280,Incident 280: Phishing,low,open,2024-07-17
281,Incident 281: Malware,critical,open,2023-02-23
282,Incident 282: Unauthorized Access,low,open,2023-03-17
283,Incident 283: Data Leak,critical,in progress,2024-08-16
284,Incident 284: Phishing,low,open,2024-11-11
285,Incident 285: DDoS,critical,in progress,2023-11-26
286,Incident 286: Unauthorized Access,low,in progress,2023-03-24
287,Incident 287: Phishing,low,open,2024-06-23
288,Incident 288: Phishing,critical,open,2023-09-26
289,Incident 289: DDoS,high,resolved,2023-10-15
290,Incident 290: Data Leak,low,open,2024-07-08
291,Incident 291: Malware,critical,open,2023-01-06
292,Incident 292: DDoS,high,resolved,2024-03-20
293,Incident 293: Malware,critical,in progress,2023-12-01
294,Incident 294: DDoS,low,in progress,2024-08-04
295,Incident 295: Unauthorized Access,low,open,2023-08-29
296,Incident 296: Malware,medium,resolved,2023-06-14
297,Incident 297: Unauthorized Access,low,resolved,2023-09-01
298,Incident 298: Unauthorized Access,low,resolved,2024-08-30
299,Incident 299: Malware,low,resolved,2023-11-20
300,Incident 300: Phishing,medium,in progress,2023-09-24
301,Incident 301: Unauthorized Access,critical,open,2023-06-29
302,Incident 302: Malware,high,open,2023-10-08
303,Incident 303: DDoS,medium,resolved,2024-09-13
304,Incident 304: Phishing,medium,open,2023-03-26
305,Incident 305: Malware,high,closed,2023-12-28
306,Incident 306: Phishing,medium,open,2023-12-06
307,Incident 307: Phishing,low,closed,2024-11-20
308,Incident 308: DDoS,low,resolved,2023-01-25
309,Incident 309: Malware,critical,closed,2023-05-28
310,Incident 310: Unauthorized Access,medium,closed,2023-07-27
311,Incident 311: DDoS,medium,resolved,2024-07-16
312,Incident 312: Data Leak,high,in progress,2023-10-19
313,Incident 313: Malware,high,closed,2023-09-23
314,Incident 314: Phishing,low,closed,2023-10-12
315,Incident 315: Unauthorized Access,high,closed,2024-04-06
316,Incident 316: Data Leak,low,open,2023-08-25
317,Incident 317: Unauthorized Access,low,open,2023-03-21
318,Incident 318: Data Leak,critical,closed,2023-08-29
319,Incident 319: Phishing,high,resolved,2023-12-11
320,Incident 320: DDoS,medium,closed,2023-10-30
321,Incident 321: Malware,high,in progress,2023-01-30
322,Incident 322: Malware,high,closed,2023-06-29
323,Incident 323: Data Leak,critical,resolved,2024-04-10
324,Incident 324: Unauthorized Access,high,in progress,2023-05-09
325,Incident 325: Unauthorized Access,low,resolved,2024-09-16
326,Incident 326: DDoS,medium,in progress,2024-04-07
327,Incident 327: DDoS,medium,open,2024-07-04
328,Incident 328: Unauthorized Access,critical,in progress,2024-04-02
329,Incident 329: Phishing,critical,resolved,2024-10-25
330,Incident 330: Data Leak,high,in progress,2023-09-06
331,Incident 331: Unauthorized Access,low,closed,2024-10-28
332,Incident 332: Malware,medium,closed,2024-04-22
333,Incident 333: Phishing,low,closed,2023-10-19
334,Incident 334: DDoS,critical,in progress,2024-05-30
335,Incident 335: DDoS,medium,open,2024-02-12
336,Incident 336: Data Leak,low,resolved,2024-09-11
337,Incident 337: Malware,critical,resolved,2024-03-27
338,Incident 338: Unauthorized Access,critical,in progress,2023-02-03
339,Incident 339: Malware,medium,in progress,2023-03-08
340,Incident 340: Data Leak,low,in progress,2024-04-05
341,Incident 341: Malware,critical,in progress,2024-11-02
342,Incident 342: Data Leak,critical,closed,2024-07-13
343,Incident 343: DDoS,high,closed,2023-08-23
344,Incident 344: Data Leak,high,resolved,2023-02-12
345,Incident 345: Malware,critical,closed,2024-06-18
346,Incident 346: Phishing,medium,open,2023-04-11
347,Incident 347: Malware,critical,resolved,2024-10-18
348,Incident 348: Unauthorized Access,medium,open,2024-03-31
349,Incident 349: Malware,low,resolved,2024-10-01
350,Incident 350: Malware,medium,closed,2024-10-15
351,Incident 351: Unauthorized Access,medium,in progress,2024-01-01
352,Incident 352: Unauthorized Access,critical,open,2023-09-12
353,Incident 353: Unauthorized Access,low,resolved,2024-02-23
354,Incident 354: Malware,medium,closed,2024-05-06
355,Incident 355: Unauthorized Access,critical,resolved,2023-12-14
356,Incident 356: Data Leak,critical,resolved,2023-05-20
357,Incident 357: Data Leak,low,resolved,2024-05-15
358,Incident 358: Phishing,critical,in progress,2024-07-23
359,Incident 359: Unauthorized Access,critical,closed,2024-02-19
360,Incident 360: Data Leak,high,closed,2023-06-27
361,Incident 361: Malware,medium,resolved,2024-11-02
362,Incident 362: DDoS,critical,resolved,2024-06-05
363,Incident 363: Malware,high,resolved,2024-01-09
364,Incident 364: DDoS,critical,resolved,2023-03-16
365,Incident 365: Unauthorized Access,low,resolved,2023-07-25
366,Incident 366: Data Leak,low,closed,2024-08-19
367,Incident 367: Data Leak,medium,open,2023-06-12
368,Incident 368: Data Leak,critical,resolved,2024-08-22
369,Incident 369: Unauthorized Access,high,closed,2023-11-14
370,Incident 370: Malware,low,open,2023-10-26
371,Incident 371: Phishing,low,open,2023-06-28
372,Incident 372: Phishing,low,in progress,2024-05-10
373,Incident 373: Unauthorized Access,medium,open,2023-06-20
374,Incident 374: Malware,critical,closed,2023-04-02
375,Incident 375: Phishing,medium,open,2023-11-29
376,Incident 376: Phishing,critical,resolved,2023-04-17
377,Incident 377: Data Leak,critical,in progress,2024-10-15
378,Incident 378: Unauthorized Access,medium,closed,2024-04-03
379,Incident 379: Malware,low,resolved,2024-04-23
380,Incident 380: Data Leak,high,closed,2023-11-23
381,Incident 381: DDoS,high,in progress,2023-05-02
382,Incident 382: Unauthorized Access,low,resolved,2024-09-16
383,Incident 383: Data Leak,low,open,2024-05-28
384,Incident 384: Malware,critical,resolved,2023-05-10
385,Incident 385: Phishing,low,in progress,2024-10-03
386,Incident 386: Malware,high,open,2023-02-26
387,Incident 387: DDoS,low,in progress,2024-01-25
388,Incident 388: Data Leak,low,resolved,2023-02-15
389,Incident 389: Unauthorized Access,medium,open,2023-10-06
390,Incident 390: DDoS,high,in progress,2024-06-08
391,Incident 391: DDoS,high,open,2023-04-14
392,Incident 392: Data Leak,critical,resolved,2023-04-11
393,Incident 393: Malware,high,open,2024-08-02
394,Incident 394: Malware,low,in progress,2023-12-14
395,Incident 395: Phishing,low,resolved,2023-09-26
396,Incident 396: DDoS,low,resolved,2023-04-08
397,Incident 397: Data Leak,medium,closed,2024-01-02
398,Incident 398: Phishing,low,in progress,2024-07-03
399,Incident 399: DDoS,low,closed,2023-11-30
400,Incident 400: Unauthorized Access,medium,open,2023-04-12
401,Incident 401: Data Leak,critical,resolved,2024-11-11
402,Incident 402: Phishing,medium,in progress,2024-03-14
403,Incident 403: Malware,medium,open,2023-01-25
404,Incident 404: DDoS,low,open,2024-10-11
405,Incident 405: Unauthorized Access,low,open,2023-12-05
406,Incident 406: Unauthorized Access,medium,open,2023-08-18
407,Incident 407: Data Leak,low,closed,2024-04-04
408,Incident 408: Malware,high,closed,2024-02-15
409,Incident 409: Unauthorized Access,high,in progress,2024-08-23
410,Incident 410: Unauthorized Access,medium,in progress,2023-06-11
411,Incident 411: Phishing,high,open,2024-09-30
412,Incident 412: Phishing,medium,open,2023-11-28
413,Incident 413: Unauthorized Access,high,open,2024-10-08
414,Incident 414: DDoS,low,open,2024-02-29
415,Incident 415: Data Leak,critical,open,2024-05-30
416,Incident 416: Phishing,critical,in progress,2024-04-22
417,Incident 417: Phishing,low,open,2023-09-12
418,Incident 418: Malware,low,resolved,2024-04-07
419,Incident 419: Malware,medium,in progress,2023-02-23
420,Incident 420: Phishing,high,closed,2023-08-03
421,Incident 421: Malware,medium,in progress,2023-01-15
422,Incident 422: Malware,critical,open,2024-01-06
423,Incident 423: Unauthorized Access,medium,open,2023-11-24
424,Incident 424: Data Leak,low,open,2023-08-09
425,Incident 425: Data Leak,low,in progress,2023-11-22
426,Incident 426: DDoS,high,open,2023-01-26
427,Incident 427: DDoS,medium,in progress,2024-05-17
428,Incident 428: Unauthorized Access,critical,in progress,2024-08-16
429,Incident 429: Phishing,low,resolved,2023-01-31
430,Incident 430: Malware,high,closed,2023-06-17
431,Incident 431: Phishing,high,open,2023-08-10
432,Incident 432: Unauthorized Access,critical,resolved,2024-07-08
433,Incident 433: Data Leak,high,closed,2023-08-11
434,Incident 434: Phishing,low,closed,2024-02-07
435,Incident 435: DDoS,critical,resolved,2024-02-22
436,Incident 436: Unauthorized Access,low,resolved,2023-11-26
437,Incident 437: DDoS,low,resolved,2023-09-22
438,Incident 438: DDoS,low,resolved,2023-11-21
439,Incident 439: DDoS,low,open,2024-01-10
440,Incident 440: Phishing,medium,resolved,2023-10-01
441,Incident 441: Malware,low,open,2024-05-16
442,Incident 442: Malware,low,resolved,2023-08-30
443,Incident 443: Data Leak,medium,in progress,2023-02-18
444,Incident 444: DDoS,high,closed,2023-10-28
445,Incident 445: Phishing,critical,in progress,2023-12-03
446,Incident 446: DDoS,medium,open,2024-02-05
447,Incident 447: Unauthorized Access,critical,closed,2023-08-06
448,Incident 448: DDoS,medium,in progress,2024-04-13
449,Incident 449: Malware,medium,resolved,2024-01-30
450,Incident 450: Malware,medium,open,2023-04-02
451,Incident 451: Malware,high,open,2024-09-03
452,Incident 452: Unauthorized Access,medium,closed,2023-08-17
453,Incident 453: Data Leak,low,in progress,2023-01-21
454,Incident 454: Malware,high,resolved,2023-05-09
455,Incident 455: Malware,critical,open,2023-11-26
456,Incident 456: Data Leak,critical,resolved,2024-10-02
457,Incident 457: DDoS,critical,open,2023-10-03
458,Incident 458: Malware,medium,closed,2023-10-01
459,Incident 459: DDoS,low,in progress,2023-12-22
460,Incident 460: Phishing,critical,resolved,2023-03-29
461,Incident 461: Unauthorized Access,high,resolved,2024-04-08
462,Incident 462: DDoS,critical,closed,2023-11-30
463,Incident 463: Malware,low,closed,2023-02-20
464,Incident 464: Phishing,critical,resolved,2023-03-13
465,Incident 465: Malware,critical,closed,2023-03-04
466,Incident 466: Malware,medium,open,2023-02-18
467,Incident 467: Phishing,low,resolved,2023-03-16
468,Incident 468: Malware,medium,resolved,2023-07-13
469,Incident 469: DDoS,low,open,2023-10-03
470,Incident 470: Malware,medium,in progress,2023-08-15
471,Incident 471: Data Leak,medium,closed,2023-06-17
472,Incident 472: DDoS,high,closed,2024-06-02
473,Incident 473: DDoS,high,in progress,2023-05-10
474,Incident 474: Data Leak,critical,closed,2023-10-02
475,Incident 475: Unauthorized Access,critical,closed,2024-01-28
476,Incident 476: Unauthorized Access,high,resolved,2024-09-13
477,Incident 477: DDoS,critical,open,2023-05-11
478,Incident 478: Malware,high,in progress,2024-11-28
479,Incident 479: Malware,critical,resolved,2023-01-16
480,Incident 480: Malware,medium,closed,2024-04-20
481,Incident 481: Malware,low,in progress,2024-03-18
482,Incident 482: Data Leak,high,open,2023-05-22
483,Incident 483: Unauthorized Access,medium,open,2023-09-03
484,Incident 484: DDoS,low,in progress,2024-01-30
485,Incident 485: DDoS,low,open,2024-03-07
486,Incident 486: Unauthorized Access,critical,closed,2024-04-24
487,Incident 487: Malware,low,open,2023-06-06
488,Incident 488: Unauthorized Access,high,closed,2023-08-10
489,Incident 489: Phishing,critical,in progress,2024-10-15
490,Incident 490: DDoS,high,closed,2023-12-18
491,Incident 491: Unauthorized Access,medium,open,2024-04-26
492,Incident 492: Unauthorized Access,medium,closed,2023-10-03
493,Incident 493: Data Leak,high,resolved,2024-09-09
494,Incident 494: Malware,high,in progress,2024-06-08
495,Incident 495: Malware,medium,resolved,2024-01-24
496,Incident 496: Malware,low,open,2023-07-17
497,Incident 497: Unauthorized Access,low,open,2024-06-24
498,Incident 498: Unauthorized Access,low,closed,2023-12-18
499,Incident 499: Data Leak,critical,closed,2024-01-02
500,Incident 500: Phishing,low,closed,2024-09-04
501,Incident 501: Malware,high,resolved,2023-02-07
502,Incident 502: DDoS,critical,in progress,2023-06-02
503,Incident 503: Unauthorized Access,high,in progress,2024-01-07
504,Incident 504: Phishing,low,resolved,2024-02-14
505,Incident 505: Phishing,critical,in progress,2024-10-27
506,Incident 506: Phishing,low,open,2024-04-01
507,Incident 507: Data Leak,high,open,2023-03-12
508,Incident 508: Data Leak,high,in progress,2024-11-06
509,Incident 509: Unauthorized Access,low,in progress,2024-11-16
510,Incident 510: Data Leak,critical,open,2023-09-08
511,Incident 511: Data Leak,high,in progress,2023-02-09
512,Incident 512: Data Leak,low,closed,2023-01-26
513,Incident 513: Malware,high,closed,2023-08-24
514,Incident 514: Data Leak,medium,in progress,2023-03-21
515,Incident 515: Phishing,high,in progress,2024-01-07
516,Incident 516: DDoS,critical,open,2023-06-14
517,Incident 517: Data Leak,high,in progress,2024-01-20
518,Incident 518: DDoS,critical,closed,2023-01-29
519,Incident 519: Phishing,medium,resolved,2024-10-24
520,Incident 520: Unauthorized Access,critical,open,2023-03-11
521,Incident 521: Phishing,high,open,2024-07-29
522,Incident 522: Malware,medium,closed,2024-01-25
523,Incident 523: Data Leak,critical,resolved,2023-05-31
524,Incident 524: Phishing,medium,open,2024-08-07
525,Incident 525: Unauthorized Access,low,closed,2023-05-30
526,Incident 526: Unauthorized Access,high,in progress,2023-09-08
527,Incident 527: Data Leak,critical,resolved,2024-02-18
